word             ,Weight      ,type
brutality        ,1.0         ,anger
annihilate       ,1.0         ,anger
tyrant           ,1.0         ,anger
tyrannical       ,0.83        ,anger
massacre         ,0.83        ,anger
sabotage         ,0.83        ,anger
aggressive       ,0.83        ,anger
destroyed        ,0.83        ,anger
manslaughter     ,0.83        ,anger
revenge          ,0.83        ,anger
savage           ,0.83        ,anger
terrorism        ,0.67        ,anger
aggression       ,0.67        ,anger
violent          ,0.67        ,anger
combat           ,0.67        ,anger
condemnation     ,0.67        ,anger
murderous        ,0.67        ,anger
venom            ,0.67        ,anger
annihilation     ,0.67        ,anger
fatal            ,0.67        ,anger
infanticide      ,0.67        ,anger
murder           ,0.67        ,anger
riotous          ,0.67        ,anger
terrorist        ,0.67        ,anger
outcry           ,0.5         ,anger
conflict         ,0.5         ,anger
dangerous        ,0.5         ,anger
slam             ,0.5         ,anger
defiant          ,0.5         ,anger
disparage        ,0.5         ,anger
homicidal        ,0.5         ,anger
inferno          ,0.5         ,anger
punch            ,0.5         ,anger
rebel            ,0.5         ,anger
retaliate        ,0.5         ,anger
armed            ,0.5         ,anger
blast            ,0.5         ,anger
bloody           ,0.5         ,anger
commotion        ,0.5         ,anger
deadly           ,0.5         ,anger
devil            ,0.5         ,anger
discrimination   ,0.5         ,anger
enslaved         ,0.5         ,anger
fervor           ,0.5         ,anger
gun              ,0.5         ,anger
holocaust        ,0.5         ,anger
kicking          ,0.5         ,anger
killing          ,0.5         ,anger
loathe           ,0.5         ,anger
lunacy           ,0.5         ,anger
mob              ,0.5         ,anger
outrage          ,0.5         ,anger
penetration      ,0.5         ,anger
penitentiary     ,0.5         ,anger
poisonous        ,0.5         ,anger
punishment       ,0.5         ,anger
revolt           ,0.5         ,anger
sizzle           ,0.5         ,anger
slap             ,0.5         ,anger
slaughterhouse   ,0.5         ,anger
spiteful         ,0.5         ,anger
treacherous      ,0.5         ,anger
untoward         ,0.5         ,anger
feud             ,0.33        ,anger
threat           ,0.33        ,anger
assault          ,0.33        ,anger
belligerent      ,0.33        ,anger
destructive      ,0.33        ,anger
devastation      ,0.33        ,anger
hostilities      ,0.33        ,anger
invader          ,0.33        ,anger
