NAME_1         ,2014.0,2014.25,2014.5,2014.75,2015.0,2015.25,2015.5,2015.75,2016.0,2016.25,2016.5,2016.75
Al-Anbar       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Al-Basrah      ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Al-Muthannia   ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Al-Qadisiyah   ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
An-Najaf       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Arbil          ,0     ,0      ,1     ,0      ,0     ,1      ,0     ,1      ,0     ,5      ,0     ,0
As-Sulaymaniyah,1     ,1      ,0     ,0      ,1     ,0      ,0     ,0      ,0     ,2      ,0     ,0
At-Ta'mim      ,7     ,4      ,21    ,6      ,4     ,1      ,5     ,11     ,15    ,16     ,13    ,11
Babil          ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Baghdad        ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Dhi-Qar        ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Dihok          ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Diyala         ,6     ,9      ,27    ,11     ,15    ,6      ,8     ,9      ,4     ,4      ,3     ,2
Karbala'       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Maysan         ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Ninawa         ,1     ,18     ,35    ,28     ,19    ,7      ,21    ,14     ,44    ,31     ,13    ,87
Sala ad-Din    ,3     ,16     ,54    ,29     ,20    ,15     ,22    ,18     ,20    ,17     ,114   ,14
Wasit          ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
