NAME_1         ,2014.0,2014.25,2014.5,2014.75,2015.0,2015.25,2015.5,2015.75,2016.0,2016.25,2016.5,2016.75
Al-Anbar       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Al-Basrah      ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Al-Muthannia   ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Al-Qadisiyah   ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
An-Najaf       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Arbil          ,0     ,0      ,4     ,0      ,0     ,11     ,0     ,0      ,0     ,53     ,0     ,0
As-Sulaymaniyah,9     ,0      ,1     ,0      ,0     ,0      ,0     ,0      ,0     ,8      ,0     ,0
At-Ta'mim      ,116   ,57     ,148   ,13     ,24    ,3      ,15    ,65     ,1548  ,97     ,181   ,226
Babil          ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Baghdad        ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Dhi-Qar        ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Dihok          ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Diyala         ,72    ,182    ,36    ,150    ,181   ,68     ,84    ,168    ,172   ,163    ,78    ,19
Karbala'       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Maysan         ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
Ninawa         ,17    ,137    ,676   ,48     ,22    ,40     ,91    ,117    ,570   ,599    ,100   ,1382
Sala ad-Din    ,43    ,382    ,449   ,140    ,170   ,131    ,195   ,231    ,177   ,216    ,174   ,234
Wasit          ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,
